id,name,review_date,star_rating,comments,venue,establishment,total_spent,tip_amount,tip_percentage,party_size,age_range,gender,ethnicity
Dzv84h7Cv3xSkoT4qHFtAQ,Customer_6468,2013-12-12 21:39:55,⭐⭐⭐⭐,"So happy we found this cool little spot in the heart of West End during a one-night stay in Nashville. To be concise, here's a rundown of pros/cons:

Pros:
- My boyfriend and I went here around 7 PM on a Tuesday night. It was decently busy, but not overly crowded. We were seated right away. Like.
- The kale salad was life-changing. I waffled for a long time on what to order, and I was NOT disappointed. I couldn't stop eating it! Best salad I've ever had in a restaurant. Get it topped with salmon too. mmm!
- The bf got the fried chicken skins and the beef short rib tacos. He said the tacos were small and not much to them, but overall good flavor and tasty.
- Wine list is great! I got some bubbly and it was reasonably priced.

Cons:
- Service was a bit lacking in my opinion - I get that this is the trendy area, but the vibe seemed a bit pretentious and not very welcoming. [NOTE: If you're from/have spent a considerable amount of time in Chicago, this is a very River North-esque bar. End of story.]
- Beer menu needs some SERIOUS attention. I was shocked there wasn't more quality stuff on that list, hence my choice for wine. Bud and High Life? Come on, man.

Notes:
- A little loud and dark in general - not the best for conversation.
- A lot of TVs all around, so might be fun for gameday, but I can't say for sure.",Uptown,Tavern,31.89,7.22,22.6,2,18-25,Female,Asian
VqICh9JO97h5NTs8W5wjzQ,Customer_9868,2014-07-28 01:49:33,⭐⭐⭐⭐,"Service was ok, but the food was excellent. Nothing against our sweet server, but she was alone on a 20 person table - really? I completely blame that one on management! Buffalo cauliflower was awesome and the chicken skewers were so so good! Everyone had a wonderful time! Ambiance was so fun!",Uptown,Tavern,135.47,0.0,0.0,2,,,Native American
T3h-qsLvgw6-snTIya8Omw,Customer_5874,2017-02-19 18:55:09,⭐⭐⭐⭐⭐,,Uptown,Tavern,49.55,11.75,23.7,2,46-55,Male,Native American
8MZmHIPivJvqHyegz4NDuw,Customer_7884,2017-12-30 16:07:30,⭐⭐⭐,,Uptown,Tavern,42.71,8.53,20.0,3,36-45,Non-binary,Caucasian
ZLJZGHB9bXDXdnIhEN7jgg,Customer_1065,2013-10-15 19:45:03,⭐⭐,"Came in for lunch while in Nashville in business. The waitress sold me on their Bloody Mary, so I ordered that and the lettuce wraps. The bloody was ridiculously watered down. It tasted watered down and looked like the glass was about 85% water/ice. When I commented on the look and taste, the waitress proceeded to tell me that if it looked watered down, there was probably extra vodka in it, which I couldn't taste because it was ""infused"" which cuts down on the vodka taste. What a load of BS. It was one of the most disappointing bloodies I've had. I should have sent it back, but she was adamant that I was wrong. Lettuce wraps had a nice spicy kick, which I liked, but it failed to redeem the dry, canned-tasting chicken. Very. Under-impressed.",Uptown,Tavern,50.62,7.74,15.3,5,46-55,Male,
vIfZn-Km8_Mzn3YcnV2oHw,Customer_7651,2017-08-29 20:07:56,⭐,,Uptown,Tavern,27.03,5.14,19.0,3,36-45,Female,Asian
eUD5trbjAnxVeJFVQcFP7w,Customer_2701,2015-07-05 00:35:46,⭐⭐⭐⭐⭐,"This place has a great vibe and lots of energy! Being an out towner, we were recommended the tavern by our hotel staff at Hutton hotel. The tavern is in walking distance and has a very friendly wait staff. Their food was great and the wine made our night before walking downtown to enjoy the live music on the strip. And we are back for another round the next day! :)",Uptown,Tavern,35.02,8.8,25.1,4,18-25,Prefer not to say,Asian
yubBhUMup3st_lEG0smAOQ,Customer_3075,2011-04-28 22:07:32,⭐⭐⭐⭐,,Uptown,Tavern,65.47,12.7,19.4,3,,,Asian
YBG_ucuXZkpBqHqZNkDMuQ,Customer_1086,2016-07-16 04:47:45,⭐⭐⭐⭐,,Uptown,Tavern,36.91,5.23,14.2,2,36-45,,Asian
6lN8DOJi5bzbpUgI8EOF8A,Customer_8040,2018-07-09 06:59:59,⭐⭐⭐,"Looks, from the street, like it would be good, but it was just okay. Our waitress pretty much forgot about us the entire time we were there. Not sure what that was all about. We tried practicing mindfulness to make the time pass while we were waiting for her to come back out and take our order. My nachos were disappointing--basically felt like a slice of cheese was melted over chips with globs of black beans. The kale salad was a warm mound of wilted kale mixed with parm cheese. My son liked his burger, so that was good.",Uptown,Tavern,49.47,9.64,19.5,3,65+,Prefer not to say,Asian
n0_nlhJ1PPvg6TqSWruC4Q,Customer_5795,2018-03-07 01:46:46,⭐⭐⭐⭐⭐,,Uptown,Tavern,28.49,4.31,15.1,4,46-55,,Other
_bk1_B7DVeOygrUqAEW5ng,Customer_5713,2015-10-18 21:58:29,⭐⭐⭐⭐⭐,,Uptown,Tavern,20.86,3.6,17.3,3,56-65,Male,Other
BTVRwQ4qi-9P83MSOtsMEg,Customer_1023,2017-10-15 11:34:25,⭐⭐⭐⭐,Solid brunch spot! Got there at peak time and the wait was less than what they thought. In the interim we sat on the padded benches outside. The place was packed but they seemed to turn it over and get people in and out quick. The bazooka guacamole was very good but the star of the show was the chorizo gravy on the biscuits. The spicy chicken sausage is aptly named as it packs a punch. I love hot food so it was perfect for me. My fiancé said it was at the limit of her spice scale so normal people may find it too much. She has the pretzel pancakes which are pancakes with pretzels on top covered in syrup. It wasn't what we expected but was good. Something about biting into a pretzel and it not having any crunch doesn't feel right but that may just be us. The girl with us had the pain Perdu and couldn't finish it but said it was good. We will for sure make our way back here as we each tried to decide between 3 different dishes so I look forward to having tried them all.,Uptown,Tavern,42.96,15.03,35.0,2,56-65,Female,Native American
cG0zukMXoMYphvr7XIG9cQ,Customer_2965,2013-10-04 01:41:32,⭐,"I usually love this place, but stopped in tonight to place a take out order, and the hostess shewed me off to the absolutely PACKED bar, to try to hail a bartender, on my own, to place an order. This is seriously how you are doing business? We walked out... Ridiculous...",Uptown,Tavern,39.79,0.0,0.0,1,26-35,Male,Asian
S15HB-F4CfmXT5m0ppL-Sg,Customer_1762,2014-01-02 19:19:41,⭐⭐⭐⭐,,Uptown,Tavern,38.93,6.3,16.2,4,65+,Prefer not to say,African American
5TH0csKR1Rarx0CXTdoFGg,Customer_5530,2017-05-03 13:52:56,⭐⭐,,Uptown,Tavern,104.17,41.67,40.0,1,18-25,Female,Hispanic
vSbBX6vSSB0ozgmfkfO3Hg,Customer_1225,2018-02-02 00:41:35,⭐⭐⭐⭐,,Uptown,Tavern,17.3,3.06,17.7,4,36-45,Female,
LxwfF7_VZ2oyUfP2M084VA,Customer_3019,2014-08-14 20:55:34,⭐,"We came here because of all the great yelp reviews, I can't believe this is 4-stars.. Good beer selection, good atmosphere, and decent service.  The food, however, was bla.. We really wanted to try the fried chicken skins, they came out very hard and very stuck together.  The sauce had good flavor but the skins came in a clump that we could hardly break apart. Our food came out about 4 minutes I into our attempt to chisel the skins apart. Kaya toast was weird and really lacked anything to bring the dish together.  After scraping off the sauce it was basically Texas toast and an egg.  The 2 sets of tacos we ordered were both overcooked and VERY dry. Come here for drinks, skip the food!",Uptown,Tavern,34.96,7.79,22.3,2,36-45,Prefer not to say,Other
14JPuG_IyWeP-DQGrpNdng,Customer_8264,2015-04-18 18:36:57,⭐⭐⭐⭐,Great place to watch sports and try the good food selection. Brunch is great on the weekend and have something special always. Just get ready for the line so my ght as well get a spot on the bar or wait forever.,Uptown,Tavern,46.83,8.01,17.1,5,,Female,Asian
SJg1y9tjPwgOarQTgYmvcw,Customer_4977,2018-05-30 12:41:09,⭐⭐⭐⭐,"Good fun place, appetizers are fun, and different! Place is always full of nice people, good energy. Great for large or small groups. Fun times!",Uptown,Tavern,48.79,6.1,12.5,5,36-45,Prefer not to say,Caucasian
uWTEzKQTi_oI8-D8Fk07PQ,Customer_3598,2018-07-08 05:00:47,⭐⭐,Waited 1.5 hours in the bar next door to eat at this overhyped egg factory. Not worth it what so ever. Go to Hattie bs or princes and skip it.,Uptown,Tavern,91.55,12.31,13.4,3,,Male,
sENiF8KnKK-v8Jz8ejJVfw,Customer_2069,2012-12-10 03:18:29,⭐⭐⭐⭐,"Had a very pleasant dining expereince at Tavern tonight. We arrived at 5 pm and it was pretty dead. It's a big place with a nice outdoor patio and a side patio that can be indoor/outdoor depending on the weather. The vibe seems pretty cool and laid back. Rock music and low lighting get a thumbs up in my book. I decided to try a sangria while I browsed over the menu. It did not disappoint. Very fresh and tasty. I decided on The Tavern burger with sweet potato fries. The burger was deliciuos! It's served on a ""meltaway"" bun which basically is just a really soft and yummy bun. The sweet potato fries were good as well. Not soggy at all which seems to happen a lot with sweet potato fries. The boyfriend really enjoyed his meal as well but I'll let him tell you about that in his own review. :) Because the dinner was so good, I decided to order a dessert, too. I opted for the cinnamon bread pudding with vanilla gelato on top. It was also delish! It was the perfect amount of sweetness and comfort to end my meal. Service was quick and friendly, food was good, and the atmosphere was relaxing. We will defintely be back.",Uptown,Tavern,24.47,5.13,21.0,3,36-45,Non-binary,Asian
ymbDu_j2XrNFcYItj4GWfw,Customer_5515,2017-06-17 21:02:18,⭐,"I have never been so insulted and talked down to in my life. Michelle, I think that's her name it's on my receipt but she never introduced herself, was the rudest person I have ever given my money to in my life. When we sat down she was talking about personal issues with the barback loud enough for us to hear and I thought that was odd in and off itself. When she gave us our menus she said a few times ""these menus are good for the next 30 seconds.""  Sorry but either give us brunch or give us dinner menus and explain that the kitchen is in the midst of a shift change, don't make us feel pressured because you dropped menus that have an extremely short time limit. Instead of eating we decided to just get drinks. She let us know that the brunch menu libations were, her words, 2 for 1. We ordered a mimosa off the list and hung out. When we got get drinks they set two wooden tokens down but didn't reference the at all, so we didn't know what they were for.  Eventually ordered some food off the dinner menu to go. She was very non existent the whole time we were sitting at the bar, not attentive at all. When we asked for the bill I saw that both our drinks were on there. I asked about them and let her know about the 2 for 1 statement she said. She then proceeded to tell me it was buy one, get one and that's what the tokens are for. I told her that ""buy one get one"" and ""2 for 1"" are different and if we knew it was BOGO we would have ordered another drink (if she would have even paid attention to us).  After a little back and forth she said she would take care of it and that ""they weren't trying to screw us.""  She talked to us like we were the worst people on earth because she doesn't know how to explain her own restaurants policies. I work in an industry that has me visiting 10-15 bars/restaurants/hotels a day and I have never had a worse hospitality experience in my life. Tavern Management - this employee is losing you revenue left and right.  Not only is she not taking care of customers and grabbing reorders, she is turning people away for good. This treatment was so horrible and off putting that I am going to go out of my way to recommended against going to Tavern due to the disrespect we felt. Hopefully your floor managers recognize how bad she is and theyo do something about it because she is taking money out of your pocket every shift she works.",Uptown,Tavern,33.51,5.76,17.2,2,46-55,Non-binary,African American
W-1KsTFiqHEz5DdsnFEbiQ,Customer_3187,2015-01-06 02:19:19,⭐⭐⭐⭐,"Great food, great atmosphere.  I had the mac and cheese, which was a special and it wasn't on the menu, but it was AMAZING.  I also highly recommend the egg rolls.  Not your normal egg rolls.",Uptown,Tavern,32.92,8.15,24.8,6,26-35,Prefer not to say,Other
Cy9RvBBa-7zC9fOnVDmkmw,Customer_9350,2017-01-29 05:37:39,⭐⭐⭐,"We came here based off a recommendation from our hotel.  The food was fine but nothing impressive.  It was basic bar food.  The music was way too loud.  Impossible to have a conversation and we were there at 5:30 on a Saturday.  If you're in from out of town, try another place for dinner.",Uptown,Tavern,70.09,16.86,24.1,2,26-35,Male,Native American
FYok0kc1LXUEcOXAIS6lnw,Customer_9552,2015-10-25 18:02:13,⭐⭐⭐⭐,,Uptown,Tavern,35.17,5.98,17.0,5,18-25,Non-binary,Native American
POfEzJaN4RLwxPlkWV4rfw,Customer_1332,2012-08-19 23:30:24,⭐⭐⭐⭐,,Uptown,Tavern,50.53,7.39,14.6,4,18-25,Female,Native American
MTQAkU8_Rl-1-ygnnIpqyw,Customer_9682,2015-04-03 19:16:22,⭐⭐⭐,"I like Tavern a lot. The food is very good. I went here for lunch with a friend from work. I loved the vibe, the dim-ish lighting, and the music, and would definitely like to come back at night time. The fish was very good, fresh, and the batter was light and perfect. I loved the sauces that came with my meal. I shouldn't have gotten the sweet potato fries. Didn't care for them. Next time I'll get regular ones. Also loved the fact that they have all of those hot sauces at the table. Any place with an abundance of hot sauces is awesome to me. I would like to go back and try other food. The only negative thing was it took far too long to eat here on our lunch break. The service was very slow, but maybe the server was new. We had an hour break and we are late coming back. However, will go back again, definitely.",Uptown,Tavern,26.04,10.41,40.0,2,46-55,,Caucasian
eUD5trbjAnxVeJFVQcFP7w,Customer_7876,2015-07-05 00:35:46,⭐⭐⭐⭐⭐,"This place has a great vibe and lots of energy! Being an out towner, we were recommended the tavern by our hotel staff at Hutton hotel. The tavern is in walking distance and has a very friendly wait staff. Their food was great and the wine made our night before walking downtown to enjoy the live music on the strip. And we are back for another round the next day! :)",Uptown,Tavern,26.17,7.48,28.6,3,18-25,Prefer not to say,Asian
c1Qc9UTyo9RUbFzciaDpkQ,Customer_7960,2013-01-03 19:02:51,⭐⭐⭐⭐⭐,"I love Tavern. They have exceptional cocktails, killer food, and an ambiance that can't be beat! I foresee many a dollar of mine being spent here....

It gets VERY busy, and on Sunday when I stopped in with a friend it was no exception. Luckily, there were two seats at the bar, so we snagged them and sat down. After drooling over another customer's plate of mussels, I decided I had to get them. White wine with bacon, leeks, and a piece of ""dippy"" bread? Um score. My friend had the chicken chimichanga, and it was cheesy but still full of flavor and amazing! 

But let's talk cocktails, something that really gets my engine running and Tavern hit the mark.

The red sangria was pre-mixed and topped off with some bubbly. It was a good sangria, but not over the top good. However, my balsamic martini with stoli, strawberry puree, and a splash of balsamic syrup?? Creative and delicious! I will be ordering the drink again and again! The bellini sparkle was not in a tiny champagne flute, it was in a tumbler and was refreshing. My friend couldn't stop ordering the cucumber, apple, and elderflower cocktail. Be warned, it is very strong! 

I was worried our service would be poor because they only had 2 bartenders for the entire bar, but it wasn't. They were attentive and sure to check up on us and get our orders in. They also have some incredible outdoor seating areas, and enjoying a cocktail on a nice day here is heaven. 

Thanks for the good times Tavern, I can't wait to see you again!",Uptown,Tavern,39.86,3.41,8.5,2,,Non-binary,Asian
x7ya_jF5VRCGxRdXEDaqqg,Customer_6847,2014-07-30 02:33:41,⭐⭐⭐⭐⭐,"Awesome atmosphere and great food. You have to go here if your in Nashville!  Make sure you try the Buffalo Cauliflower, Beef short rib tacos and the Horseshoe. We tried the fried chicken skins.....not a fan.",Uptown,Tavern,25.22,2.42,9.6,1,46-55,,Asian
Sw1F45atmHECRc0hc7BpRQ,Customer_6320,2017-10-14 22:52:04,⭐⭐⭐⭐,,Uptown,Tavern,72.64,13.83,19.0,2,36-45,Non-binary,
YBG_ucuXZkpBqHqZNkDMuQ,Customer_9724,2016-07-16 04:47:45,⭐⭐⭐⭐,,Uptown,Tavern,104.46,24.03,23.0,2,26-35,Prefer not to say,Caucasian
Qa07cliS19dExGiWvp3EoA,Customer_4358,2014-01-19 00:37:58,⭐⭐⭐⭐⭐,"Chose the Tavern based on an article I read on the internet that many chefs in the area head to here for brunch and now I know why. My my my.... Perfect brunch on a gorgeous day.... Mimosas on the patio, pretzel pancakes that were scrumptious. Tehren was spot on with the service we received. Highly recomend this place to anyone in Nashville or traveling through. Will certainly be back!",Uptown,Tavern,31.16,8.19,26.3,2,56-65,Male,Hispanic
96YWbWWyWcKY26a8CVm2yQ,Customer_8229,2015-12-06 22:18:31,⭐⭐⭐,"Burger was great. Cooked perfectly, but nothing special. Packed for brunch specials. Seem to have awesome election of cocktails and awesome bartenders. Was there for food, don't really drink. Def would go back. Atmosphere was great too.",Uptown,Tavern,39.09,7.23,18.5,2,26-35,Female,Asian
WeEwR5kv59drLBgdMIAWvA,Customer_2531,2017-06-30 23:32:16,⭐⭐⭐⭐,"I've never been to an M Street restraunt before, for those of you who are not familiar with M Street they are the zany people who bring us resturant concepts such as Kayne Prime (on my bucket list,) Virago and Moto (also on my bucket list.) So on Wednesday night we visited Tavern, which is self-described as ""a pub for chefs."" Valet parking at this location is a must and they were prompt and efficient. There was plenty of porch seating available as well as being used - Nashvillians do love their porches. The inside of the restaurant had a rustic feel and it seemed as though the bar top was inhabited by business class regulars. That having been said I could easily picture the bar at 12 midnight being inhabited by waitrons and people with checkered pants, it would be a great place to have some concept drinks and small plates after a busy restaurant shift. I ordered the Korean short rib tacos - I definitely got the red pepper forward taste as well as the cool of the cucumber and cilantro. I would order it again. Delivery time was about 13 minutes, a good ticket time. It's very evident that these people are ""on their game,"" I will be returning to try other items on their menu. And one day I will visit Kayne Prime, I might splurge for that on my father's birthday. Visit Tavern, have fun!",Uptown,Tavern,43.76,8.62,19.7,2,26-35,,Hispanic
