review_number,guest_name,visit_date,satisfaction_score,feedback_comments,venue_location,restaurant_name,total_spent,tip_amount,tip_percentage,party_size,age_range,gender,ethnicity
QuLLvrwzNEizCRDiRPsVGQ,,12.02.2012,5.0,"We walked into The Bricks of Ybor and were immediately greeted by the owner and taken on a tour. He showed us the studio area next door, the small patio in the back, and the food prep area. He also explained the menu and gave some recommendations. I've never been treated that way at a restraunt and it was an awesome touch. The food was great. The waitress did bring my husband the wrong sandwich but by the time we figured it out, it wasn't worth mentioning. He liked whatever it was she brought him. The beer selection was very good. The atmosphere is laid back and unique. They have games to play while you enjoy your drinks. The music is awesome. All in all, I love this place!",Eastside,The Bricks,26.82,4.11,15.3,3,65+,Non-binary,Hispanic
rzkOryEsl-T1AvF6e3DcIw,Guest_3515,2012-12-05,4.0,"Either ate or had drinks here a few times over the summer as my office was just upstairs.  I'm not a vegetarian, but the Goodness wrap is a knockout.  I also greatly enjoyed the chili I had here, though it was a special so I'm not sure how often it comes around.  I'm not really into the hipster vibe of the staff, but I never had any service problems and that's what is most important.  

I definitely don't live or die by The Bricks but it's a place I would suggest if you're ever in Ybor City.",Eastside,The Bricks,16.47,3.05,18.5,3,36-45,Male,African American
I3nDwvABhYqKdcxpN6_eaA,Guest_4563,2014-04-23,5.0,,Eastside,The Bricks,10.64,1.46,13.7,4,,Male,
gHUkEhOWnsgHft9SzkSiZQ,Guest_9388,2015-12-24,4.0,Just came here for cocktails on a Tuesday night. The bar was full but not very busy otherwise. We got the huckle punch and Constantine. The huckleberry vodka in the huckle punch is one of my favorites so loved that drink and the Constantine also very good if you like bourbon! Service was very good and prices were reasonable. Had $3 taco deals and a very cute coffee bar so would definetly be interested in coming back to eat or for a good studying place!,Eastside,The Bricks,35.29,3.67,10.4,2,65+,Prefer not to say,Caucasian
UmA-9d4M4x8F5UKkVCAjEg,Guest_2639,01/19/2015,,,Eastside,The Bricks,6.63,0.86,13.0,1,18-25,Prefer not to say,
I3nDwvABhYqKdcxpN6_eaA,Guest_3706,2014-04-23,5.0,"Easily my favorite overall spot in Ybor. The food is freaking amazing, the staff is awesome and know their booze/beer, and it just has a great feel.",Eastside,The Bricks,,2.7,8.4,2,65+,Male,Other
L35Awd7K5slzNlEAI6H8xQ,Guest_6510,2016-04-01,4.0,,Eastside,The Bricks,27.27,4.79,17.6,3,46-55,Non-binary,
miIwXNa5O-ILZaN_S3EH2g,Guest_6012,2014-02-24,,"I'm defintely a fan. The food/drinks are always stellar and while the staff is super friendly, the only issue with The Bricks is the time it takes to order/be served. It isn't like the servers are slow either, they are clearly working their assess off running from table to table, so maybe it is that people have called in sick the couple of times I've been in recently and they had to work twice as hard but a Sunday lunch shouldn't take 3 hours. Now that my complaining is out of the way, the restaurant itself is super groovy. The kitchen is on full display so no crazy stories of chefs putting anything crazy into your food here. And they look like they are having a great time while they prepare meals (whether they are or not, I love to see people enjoy what they do). I normally get draft beer but their cocktails look really interesting and innovative. At lunch, I normally get the ""Goodness"" which is a hummus wrap and it comes with a choice of a side ($8). Don't bother being wishy-washy on the side, get the Asian slaw, it is delicious, and if available I would order as a meal. The wrap was good but the star was the slaw. Thai, pea-nutty, goodness:) I've gotten the Elvis before ($8) and it was delicious but something I can make a home. I ordered it without bacon. My husband ordered the burrito and loved it as well ($9). Others at our table raved about the Chicken and the Pig, The BBQ pork, and The Cure sandwiches. Everyone really liked their food. The Bricks really is a great spot on the 7th Avenue strip, perfect for late night people watching that make Ybor awesome and also out of the way enough to not feel like it's distinctly part of the Ybor scene.",Eastside,The Bricks,60.41,15.91,26.3,3,,Prefer not to say,
mu7DWrjoa6b2yqcfH75QYw,Guest_8976,12/24/2016,1.0,"For days I have tried to put a side the terrible experince I had, I really don't like to put a bad review, but most of all I deeply appreciate when businesses treat everyone with respect and priority, and for some reason and actually for no reason. I walked in and noticed I have to go to the bar for srvice, there were no available seats, so I stood at the beginning of the bar from the entrance, made an eye contact with the bar tender, 5 min passed he still didn't come to me so I looked over for a menu and grabbed it myself, shortly after he reached to me and took my order of drinks and food... 10 min passed and he didn't prepare my drinks, he left the bar area, and another guy came to replace him, he asked us if we needed help, I told him we already ordered, mean while I'm waiting and waiting and I see our server went to take out food for people, totally forgot about us, he could have at least tell the other two guys who were at the bar ( one of them was the owner) to make us the drink... Then the owner came to me and he told me I should have told the guy that replaced him to make me the drinks, i told him how could I know it works that way? And instead of trying to make excuses for why I don't have my drinks and blaming me for it, he obviously didn't care for what u had to say but I tried explain him how long I've been waiting and that I should have been taken care off and that he's been very rude for trying to excuse the situation instead of handling It property... End of story, He got mad he said I'm the owner and that I'm not going to talk to him that way and he walked away from me! So to sum it all up, I waited a while until I was served, the tender argued with me that chocolate always has milk inside ( just a lack of knowledge) the owner saw us waiting and waiting , looked at us while serving others, and than he got the nerve to be mad at me for being upset....!!!!",Eastside,The Bricks,23.32,6.5,27.9,4,65+,Female,Native American
ntNxLQQTBZhYVGZpvUQYzw,Guest_5133,08.09.2016,5.0,My favorite lunch spot in Ybor. Best greek salad of all time. Great servise.,Eastside,The Bricks,24.15,2.0,8.3,4,,Female,Native American
NVGknCokupO-YGnK8vI5Kg,Guest_3187,22.04.2014,,"Excellent service, trendy yet comfortable atmosphere, and very nice food. About half the items we requested weren't available b/c they're transitioning to a new menu.",Eastside,The Bricks,9.41,1.35,14.4,4,36-45,Prefer not to say,Mixed
8_4B-G7i1ETKqsNLEiaXfw,Guest_6062,27.10.2011,4.0,,Eastside,The Bricks,21.44,4.0,18.6,2,56-65,Non-binary,Mixed
dFgGps6gQQbWoKOR60X72w,Guest_6726,02.03.2012,5.0,"My friend and I visited Tampa for a concert, and about ten minutes away from the Atlanta airport he realized that he had purchased tickets for the wrong day. We had already made hotel reservations and bought the concert tickets, so he just had to pay same-day price for airfare: all in all about $800 more. ""It was totally worth it,"" he later told me, ""Because I got to have the best sandwich of my entire life.""

All because we randomly picked the Bricks of Ybor from Yelp. I can't vouch for the peanut butter or meatless menu, but the meat sandwiches that we bought were absolutely phenomenal. I had the pulled pork, which was flavored with ponzu and served on Hawaiian sweet bread. It was one of the best meals I've had in a long time. We spent a few hours hanging out and drinking, during which time Brian, the owner, came out and talked to us, comped us a drink, let us try new appetizers he was developing (all for free) and generally made us feel really welcome. 

I kept my eyes open to the kind of crowd that came in and out of the restaurant. It seemed to draw everything from hipsters to geriatrics and strait-laced families with young kids. I think it speaks to both the diversity of the menu and the pleasant environment. We went back for drinks before and after the concert. It got very crowded but we still received excellent food, drinks and service. I give this restaurant my strongest recommendation, and it's the first place I'm going when I next visit Tampa.",Eastside,The Bricks,14.88,2.2,14.8,3,,,Mixed
P-lZE6cZgfWkojreLiu7Vg,Guest_1725,15.03.2017,4.0,The Bricks is a tasty restaurant for lunch with a cool and unique Ybor City atmosphere along with friendly service! The only reason it didn't get 5 stars is because it is a little pricey for the quantities.,Eastside,The Bricks,17.52,2.31,13.2,3,56-65,Non-binary,Hispanic
xFxilqzpu6Xac1admnl7MA,Guest_8275,28.09.2015,4.0,"I dig the art and the choices on the menu.

Skanky Chai is pretty good. 

The Elvis was pretty awesome. Peanut butter, bacon, and bananas on cuban toast. 
That sounds a lot like something I would drool over.

Nice!",Eastside,The Bricks,19.5,4.35,22.3,5,18-25,Prefer not to say,Hispanic
nAdvLArVs5EaKwrOvFXTuQ,,13.11.2014,5.0,,Eastside,The Bricks,29.38,6.1,20.8,4,46-55,Female,Native American
BceKC7jAlfmF6C-z-OTflQ,,19.08.2017,,"I went there for dinner while in the Tampa area and had a great meal.   They have multiple Vegan and Vegetarian options, while also having a full bar with Guinness.   Very unusual across the good ole USA.

The place is in an interesting area, which seems it could be a little rough in the dark, so if you go, I would recommend going during the light hours.

The bartenders are really nice, and helpful with picking a good dish.",Eastside,The Bricks,18.93,2.63,13.9,2,,Prefer not to say,Caucasian
94N0yL4NknDfB4JITXlUWA,Guest_1511,2015-06-21,4.0,Just went there yesterday for brunch...  I've had a ton of grilled cheese sandwiches but this makes my top five. Loved the atmosphere. So happy we gave this restaurant a chance.,Eastside,The Bricks,15.63,3.94,25.2,3,18-25,Male,
EVklXIXTKM7MroTzc-EsPA,Guest_9667,04/09/2017,4.0,"I ordered the Kung fury bowl and it's pretty good, just not a huge fan of Asian slaw. The restaurant is pretty cool with the decoration and not at a super crowded location in ybor. The service was a bit slow, but the food came pretty quick.",Eastside,The Bricks,7.85,1.44,18.3,1,65+,Male,Other
P-lZE6cZgfWkojreLiu7Vg,Guest_7950,03/15/2017,4.0,,Eastside,The Bricks,45.93,7.28,15.9,6,65+,Female,Mixed
OhxIJjuDwcA0tRwXImwpeA,Guest_9637,24.08.2014,3.0,,Eastside,The Bricks,29.95,5.15,17.2,1,18-25,Prefer not to say,Caucasian
asr6SiNjIrpTrGwMeBp9Pg,Guest_2744,03.07.2015,,"Great environment, good assortments of beers, funky people, board games, chill vibes, Monday Game nights and random parties, outside patio, great coffee, try liquid heroin coffee, one of my favorite places in town",Eastside,The Bricks,17.71,3.89,21.9,2,56-65,Male,Hispanic
6W_KEeCPnxjcuD6u4UXi0Q,Guest_4714,2017-06-18,5.0,"Came for Father's day brunch, and will definitely come back. great selection of vegetarian food.  Veggie Cuban and cheese grits were awesome. .and service was so good!",Eastside,The Bricks,25.19,4.72,18.8,3,,Female,Mixed
asr6SiNjIrpTrGwMeBp9Pg,Guest_5391,07/03/2015,5.0,,Eastside,The Bricks,28.56,4.46,15.6,2,18-25,Female,Caucasian
N1BiMP9r3IsmEzChi9PPwA,Guest_3512,23.02.2011,4.0,"I read the reviews on Yelp and decided to check out Bricks of Ybor for myself. 

Nice atmosphere and hip music playing in the background. I sat at the bar and watched the flat screen televisions (they were playing the History Channel on one TV. & ""Shaun of the Dead"" on another TV.). 

Good beer on tap (I tried the IPA -- it was good) and a small menu specializing in appetizers, salads & sandwiches. I ordered the hummus plate and the iceberg wedge salad -- both were delicious. The blue cheese dressing on the salad was particularly scrumptious. 

For one beer and an app and a salad, my bill came to just under $25 before tip -- kinda expensive (considering they no longer serve the ""salmon spread"" on the hummus plate -- should that really be priced at $10, still?).",Eastside,The Bricks,30.0,5.62,18.7,2,18-25,,African American
eWzgGaazlADYOBS_hzFLtA,Guest_5332,2014-05-09,4.0,"Tasty place to grab a unique sandwich or something else with some tasty beer. I love the decor in this restaurant, as it seems to marry bricks, random tomfoolery, and nerdiness quite well. I've enjoyed most things there. The Bird and Pig was quite good as well as their veggie burger. They also have lots of theme nights, but I've never been to one.",Eastside,The Bricks,18.36,3.29,17.9,3,,Male,African American
exVAtPSIFht6QUVDftWSzw,Guest_2237,07/14/2013,1.0,"The Bricks gets a ""1"" in my book because they have terrible servise. Great food, but terrible service. I went there about 3pm on a Tuesday...which happened to be my birthday to have lunch with my mother. Not only were we not greeted by the 3 staff standing around with NO other customers, but we were also not brought any menus or given direction about seating. We sat down and waited for a server to come by and ask for our drink order and bring menus. No one ever did. We got up and grabbed our own menus close to where the staff were standing. They paid no attention. After 3 or 4 more minutes we stood up to leave and they didn't care. So we walked out and I had my birthday lunch elsewhere. I wrote to them on Facebook about our service and they promptly deleted my comment and ignored my message. I used to go to the Bricks all the time, but we've never been back since and I warn any new friends to not go there as well.",Eastside,The Bricks,,1.83,8.1,1,,Female,Mixed
umKey8gxNoyUcwZY2azciw,Guest_3404,2011-06-02,3.0,"nice place for gatherings and hanging out. Friendly staff. 

Food was OK. Not bad, not good, it just sat somewhere in the middle.",Eastside,The Bricks,23.62,4.34,18.4,1,,,Native American
zs4OcjXPJOkdhKV_CtRgpQ,Guest_4518,2014-06-11,,"One of my favorite spots to swing by while in the Ybor area, either with a group of friends or alone, as they do have a lot of space to bring out your laptop to work or read. Since I usually come during the workday for lunch, I'm a big fan of their specialty coffee drinks. They have a very unique one - espresso lemonade - which I got to try on my last visit. The bitterness was cancelled out by the lemonade and it was delicious. The Bricks has a good choice of apps/salads/sandwiches and I also tried a spicy chorizo, creamed soup, which my server recommended, and he was right-on point with this pick. If you're in Ybor please make sure you stop by here...it's vegan/vegetarian friendly and just has a good all-around vibe inside.",Eastside,The Bricks,20.99,4.39,20.9,2,65+,Non-binary,Native American
3FfhPCMT5T2e369qqYfV7g,Guest_6613,2015-09-10,,"The Bricks has a super cool vibe. I've visited multiple times for dinner and once for drinks. I'm always impressed with their sandwiches and other food. Normally everything is very fresh and tasty. They have a good sized line up of craft beers most of them local to the area, which is something I'm always looking for. 

It's sort of a dive-y location on the outskirts of the main part of Ybor. Late night they have a small menu of appetizers/small plates and have a DJ. It's clientele leads to some awesome people watching. 

All in all, definitely worth a try. It's not super fancy, so it's perfect for a casual dinner or a new place to try to grab a beer (there's a full bar as well).",Eastside,The Bricks,38.01,8.0,21.1,3,,Prefer not to say,Asian
_aJ77lzyw1BhFqRU-wPwhA,Guest_2642,2012-03-02,4.0,fun place with a nice atmosphere. Ordered the Elvis which is a good sandwich with peanut butter honey bananana and bacon! it sounds weird but it was delicious.,Eastside,The Bricks,16.22,4.7,29.0,1,26-35,Prefer not to say,Other
KIA9s_8qZEtuSjIFdjBwYQ,Guest_5262,06/29/2014,1.0,,Eastside,The Bricks,32.25,3.56,11.1,2,,Female,Caucasian
t6OmnU6qlaPS2BzDnMS28w,Guest_2823,05/20/2018,,"My favorite drinks place to imbibe before a show in Ybor. Kyle is spot on every time with what is seemingly the exact thing I want before I even know it. Also, the nachos. Trust me!",Eastside,The Bricks,,4.01,21.3,2,26-35,,Asian
dxp5wFqMeO2x3Rz-8km5Cw,Guest_8679,27.05.2017,5.0,,Eastside,The Bricks,22.74,0.0,0.0,2,,,Caucasian
jE2zHov_2Eii9XrrmkSV5g,Guest_3365,28.06.2012,3.0,"Visited The Bricks this evening for dinner with a group of 6 and I think I can say we all enjoyed our experience  - I give it a solid 3-stars because I wasn't blown away by the food, ambiance or service but all were good if not a little above average. 

I started with an Old Fashioned which was sadly, quite watered down.  The table started with the Bricklayer Nachos which were good and a pretty decent size portion too.  For my dinner I had the Mediterranean Grilled Cheese - feta and mozzarella cheese, olive tapenade, baby spinach and portabello mushroom pressed in a piece of flatbread.  The first few bites were enjoyable but about a quarter of the way into it I realized how SALTY it was.  Unfortunately, it was a little one-note and better in concept than in execution in my opinion. 

Our waitress was pleasant and split the check 6-ways without us even having to ask, which I thought was really nice of her.  Atmosphere was unique but nothing worth coming back for.

Also, worth noting - The Bricks doesn't have its own parking lot so you'll have to find street parking (good luck), a paid parking lot lot or one of the local parking garages.",Eastside,The Bricks,31.02,6.13,19.8,3,36-45,Male,
11LaR_wnmQpNf7fD6d6n1Q,Guest_1684,11/12/2014,4.0,I love this place. Everything I've had seems really fresh. The hummus is really tasty and the ambiance is nice and relaxed.,Eastside,The Bricks,,4.95,23.4,4,56-65,,Other
OkD1Hn96bO8NYIClN6bvyA,Guest_3651,2018-01-24,4.0,"2 words THE CURE! I ended up here after a night of one too many drinks (it happens). A friend recommended this place for a hang over cure! She was not mistaken! After reviewing their menu, which seemed a bit obnoxious, (I'm talking quirky names that require you read the description to be able to decipher what you're eating) I settled on the sandwich with an egg on it! Im a sucker for a runny egg on just about anything! Messy eggs, bacon, mozzarella, jalapeño aioli, on toasted cuban bread; this holy grail of a sandwich is called THE CURE! I have been back a few times to this establishment just for this sandwich, the mimosas too. Oh yea they have liquor so you can totally have drinks here. The ambience is very chill. There are a good amount of tables inside and bar seating; no outside seating. I have been here on a Sunday for brunch and found it to be pretty family/kid friendly. The whole place and most of the staff is painfully hipster but it works. The bathrooms are clean and there is a small back patio with mural art.",Eastside,The Bricks,16.49,2.21,13.4,2,36-45,Non-binary,Other
hBzLjPySOBHDz0NiGf6SfQ,Guest_4779,2018-06-09,4.0,"Friendly service & neat building. Depending on the atmosphere you are looking for, the music is a bit loud.",Eastside,The Bricks,29.56,5.35,18.1,4,18-25,Prefer not to say,Native American
dDKRtNXR8JJAz4x_ZCGo3g,Guest_1253,2014-05-29,4.0,,Eastside,The Bricks,18.24,3.1,17.0,2,,Non-binary,Hispanic
rno5BeYy-bMFKINk43MmNw,Guest_2635,2014-05-30,,"It is definitely a place to bring your friends and chat. I love their different types of Peanut Butter sandwiches. Amazing! Not only that, but the inside environment is just so positive and provides inspiration.",Eastside,The Bricks,30.24,3.16,10.5,5,,Female,Other
ylcQSUvE8VHikFz_gWIWWQ,Guest_5079,2017-08-19,5.0,"This is THE BEST spot for food and drinks in Ybor. The drinks are amazing and the food is top notch. Cool, laid back atmosphere and amazing bar!! All of the staff are helpful and accommodating!! Best happy hour!!!",Eastside,The Bricks,,4.11,19.5,4,,Female,Mixed
N1BiMP9r3IsmEzChi9PPwA,,02/23/2011,4.0,"I read the reviews on Yelp and decided to check out Bricks of Ybor for myself. 

Nice atmosphere and hip music playing in the background. I sat at the bar and watched the flat screen televisions (they were playing the History Channel on one TV. & ""Shaun of the Dead"" on another TV.). 

Good beer on tap (I tried the IPA -- it was good) and a small menu specializing in appetizers, salads & sandwiches. I ordered the hummus plate and the iceberg wedge salad -- both were delicious. The blue cheese dressing on the salad was particularly scrumptious. 

For one beer and an app and a salad, my bill came to just under $25 before tip -- kinda expensive (considering they no longer serve the ""salmon spread"" on the hummus plate -- should that really be priced at $10, still?).",Eastside,The Bricks,9.65,1.8,18.6,2,,Non-binary,Caucasian
8PtU0lutz85WqmKOhTY-3w,Guest_4781,2017-03-16,1.0,,Eastside,The Bricks,,8.97,19.9,2,,Non-binary,Asian
0F7dbDBRCGYd3wFBuVpFMA,Guest_2383,28.07.2014,4.0,"What an eclectic hipster joint, right in the heart of Ybor. The restaurant name alone fits the atmosphere perfectly. The menu options are unique, what might sound like it wouldn't mesh on the palette ends up making you want seconds and if drinking enough-- thirds. This is a great place to have a drink and a scrumptious sandwich on a Sunday. I had the bird and pig, perfect combination of savory and sweet.",Eastside,The Bricks,9.85,1.1,11.1,6,,Non-binary,Other
EVklXIXTKM7MroTzc-EsPA,Guest_2335,2017-04-09,4.0,,Eastside,The Bricks,,7.15,16.3,4,,Male,African American
QuLLvrwzNEizCRDiRPsVGQ,Guest_8900,2012-02-12,5.0,"We walked into The Bricks of Ybor and were immediately greeted by the owner and taken on a tour.  He showed us the studio area next door, the small patio in the back, and the food prep area.  He also explained the menu and gave some recommendations.  I've never been treated that way at a restaurant and it was an awesome touch.

The food was great.  The waitress did bring my husband the wrong sandwich but by the time we figured it out, it wasn't worth mentioning.  He liked whatever it was she brought him.

The beer selection was very good.

The atmosphere is laid back and unique.  They have games to play while you enjoy your drinks.  The music is awesome.

All in all, I love this place!",Eastside,The Bricks,25.61,2.54,9.9,4,18-25,Female,Mixed
rno5BeYy-bMFKINk43MmNw,Guest_1439,2014-05-30,5.0,"It is definitely a place to bring your friends and chat. I love their different types of Peanut Butter sandwiches. Amazing! Not only that, but the inside environment is just so positive and provides inspiration.",Eastside,The Bricks,28.05,5.0,17.8,2,,Prefer not to say,
exVAtPSIFht6QUVDftWSzw,Guest_7258,2013-07-14,1.0,,Eastside,The Bricks,24.96,4.72,18.9,4,18-25,Prefer not to say,Native American
F4_DYi_7czpyLMrErrKaQg,Guest_5241,01.08.2011,5.0,"We cam here for my wife's birthday this year that also just so happens to be Cinco De Mayo. We didn't want to go to a mexican joint so we chose the Bricks after reading some specials that they had going online. I have to say it was a good night and a lot of fun. Good drinks as well as food. Great ambiance, this is an older building in Ybor that they really did a great job of restoring. These guys are always having great food and happy hour specials. You won't be disappointed.",Eastside,The Bricks,22.48,5.36,23.8,2,,Prefer not to say,Other
uVRXElOZDBO2TXq_gveXYA,Guest_8455,21.03.2013,5.0,"Where do i start with this place! I love that they have local art on the walls/ always doing art shows the staff that works there always rocking smiles talking to all the guess a all around good atmosphere vibe I tip my hat to the head chef (Chef Ben) The food is always on point and i like when the cooks yell ""ORDER UP"" hahaha I can wright a book about how awesome this place is KEEP UP THE GOOD WORK and SEE YOU SOON!",Eastside,The Bricks,18.92,4.08,21.5,2,65+,Female,Hispanic
UDE36dmZLk5NQvHWFs7ouQ,Guest_8392,02.05.2012,4.0,"I thoroughly enjoy going to the Bricks.  It's unique atmosphere with cheap, but tasty, food options combine for a great experience.  

The term hipster is thrown around a lot these days and while you may be greeted and surrounded by people in skinny jeans, wearing Toms shoes, IMAX glasses, and an extra piercing, you are treated no differently.  I always feel warmly welcomed and entertained.  

As it does have a large bar, it may get rowdy in the evenings, but the Bricks maintains a family-friendly atmosphere.  

I ate the Bird and Pig meal once, very very good, and the breakfast bagel the next time.  The fiancee had black bean soup and a grilled cheese sandwich.  Very tasty combination. 

Highly recommend!",Eastside,The Bricks,55.8,5.28,9.5,2,,Prefer not to say,Native American
gHUkEhOWnsgHft9SzkSiZQ,Guest_5972,12/24/2015,4.0,Just came here for cocktails on a Tuesday night. The bar was full but not very busy otherwise. We got the huckle punch and Constantine. The huckleberry vodka in the huckle punch is one of my favorites so loved that drink and the Constantine also very good if you like bourbon! Service was very good and prices were reasonable. Had $3 taco deals and a very cute coffee bar so would definitely be interested in coming back to eat or for a good studying place!,Eastside,The Bricks,57.71,6.56,11.4,1,46-55,Female,Hispanic
qzgc5-lizZMqupW7ZR8qmQ,Guest_8924,07/28/2014,4.0,,Eastside,The Bricks,14.98,2.92,19.5,5,56-65,,Mixed
ELbCs-aC8mAxrAEu36Hihw,Guest_2761,10/13/2014,4.0,,Eastside,The Bricks,14.53,2.17,14.9,2,56-65,Prefer not to say,Other
jrGMuHix2T4NvxVmR0yF_g,Guest_8469,2013-02-27,5.0,"Great atmosphere, always a good variety of music playing, excellent food and an increasingly diverse drink menu make this possibly my favorite place in Tampa. The Bird and Pig could quite possibly be the best sandwich in the history of sandwiches! Chicken, bacon, Brie, agave on Hawaiian sweet bread....yum! Also, try Root Down on the drink menu. Tastes exactly like Root Beer!",Eastside,The Bricks,23.09,5.25,22.7,2,46-55,,Asian
ylcQSUvE8VHikFz_gWIWWQ,Guest_1170,2017-08-19,,,Eastside,The Bricks,18.06,1.61,8.9,6,36-45,Prefer not to say,Mixed
s9dqqPMdKO3QdJ5s7lrt3g,Guest_7680,11/28/2016,1.0,,Eastside,The Bricks,30.29,4.08,13.5,2,56-65,Female,Other
ZqzXpRt9FsPQUDCNmvj0ew,Guest_8193,25.02.2017,4.0,,Eastside,The Bricks,16.37,1.44,8.8,1,46-55,Male,Asian
6W_KEeCPnxjcuD6u4UXi0Q,Guest_8275,2017-06-18,5.0,"Came for Father's day brunch, and will definitely come back. great selection of vegetarian food.  Veggie Cuban and cheese grits were awesome. .and service was so good!",Eastside,The Bricks,14.55,3.16,21.7,3,,Male,Caucasian
