review_id,customer_name,date,rating_out_of_10,review_text,location,restaurant_name,total_spent,tip_amount,tip_percentage,party_size,age_range,gender,ethnicity
Y2NCKRDTQ7mAzGvFJ6Od3w,Customer_6434,2015-01-09 22:16:43,,"For the past few weeks, I've been craving the crab omelet.  Went in once but there weren't any seats at the bar and no open tables with a 30 minute wait.  Went back a few weeks later and was able to get a table.  Unfortunately, I was really disappointed that the menu changed and the crab omelet wasn't even on the menu.  I double checked to see if they could make it but they couldn't.  :(  I wish I could get an email reminder when they add it back to the menu. lol  

I ended up getting the crab bisque and fries.  The bisque was was flavorful.  The fries were good as always.  (I knew the bisque wouldn't be enough alone but didn't see anything else that really stuck out to me...probably because I really wanted that omelet.)

Nice waitstaff.  Pretty fast and acknowledged us.  I'll be back again though because I really like this place.  Hopefully my favorite dish will be on the menu again. :)",Midtown,Luke,65.19,13.05,20.0,3,,Non-binary,Hispanic
EpUfmgIX_sQWpAm8KTzV6Q,Customer_3719,2014-05-28 01:12:36,10.0,"How has anyone not given this place 5 stars. Food was great, service was even better. We did make reservations, but only 45 minutes prior to us arriving. 

Steamed chocolate dessert was by far my favorite.

Thanks for a wonderful evening",Midtown,Luke,34.58,6.87,19.9,2,46-55,Female,Hispanic
YdWWr62YTxbGC_66C_7l5g,,2014-08-15 18:11:52,10.0,,Midtown,Luke,23.58,3.7,15.7,2,46-55,Female,Mixed
88erzTN_VRhhZVPQtkqG5Q,Customer_1612,2014-09-28 22:58:16,6.0,"this was a good last minute brunch find for us. we miscalculated timing of when we needed to leave for the airport given saints traffic, so we bailed on our reservation and headed around the corner to Luke's. 

Server was very nice and the brunch menu had several appealing options. i enjoyed my shrimp and grits though could have used a larger portion (maybe it was just bc we had eaten nonstop during our trip and my appetite was extra big). i ordered a glass of prosecco that was just ok and my friends both said their bloody mary was just ok as well. 

overall was a good, quick brunch stop near our hotel before leaving town.",Midtown,Luke,38.7,6.19,16.0,4,18-25,Prefer not to say,Caucasian
3wbs4BbkdjreH52F9gZ5zg,Customer_9579,2017-07-20 00:47:10,8.0,"2nd best shrimp and grits I've had in my life! Chris bartender was great and made me feel so welcomed even though I was alone.  I spoke with some natives and they weren't familiar with this place but I followed my gut as long as the sun was up and took the walk to this restaurant and I'm happy I did.  I'll let them know tomorrow that they have to check this place out.  I'm not an oyster fan but seeing these guys ""shuck??"" the oysters gave me a new appreciation of them.",Midtown,Luke,45.49,10.17,22.4,3,36-45,Female,Hispanic
SRy18JjWlgMJtqqc5GU2PQ,Customer_8526,2018-07-19 16:34:14,,"I enjoyed a nice lunch at Luke's during a recent visit to Louisiana. I ordered jumbo lump crab ravigote with toasted ciabatta  bread. The crab was excellent the only thing is it comes with a horse radish dressing mixed into the crab and it was very strong. If I went again I would not order it with the dressing although I'm not certain it can be extracted. The corn and crab fritters are a delightful taste of seafood, but crunchy enough to pass for a stand alone afternoon snack. The crispy brussels sprouts were fresh and in season and had great  texture to the meal.",Midtown,Luke,,1.49,8.3,2,,,Hispanic
fyEXq_j4Q5_l1IFIRJu-FA,,2014-08-11 15:47:58,4.0,"We had breakfast at Luke.  The restaurant opened at 7 am, but the staff was definitely not prepared for patrons from the Hilton next door.  We were promptly seated by the hostess, but we waited on coffee for 15 mins.  We placed our order and waited another 20 mins for yogurt/granola breakfast.  It wasn't very busy with two waiters taking orders.  The bartender was refilling his bar but not helping the waiters either.  
Food was okay, but I wouldn't recommend this restaurant due to very poor service.",Midtown,Luke,,7.67,20.6,4,18-25,Male,Native American
KHIEDctF9RSuIJqO4kAS7w,Customer_5695,2014-08-25 22:08:57,10.0,"LUKE offers a great breakfast !  A bit on the pricey side for breakfast but definitely worth trying.  The breakfast menu has about 10-12 items and you can see a picture of it above.  We had the Basket of Beignets with chocolate sauce, the Homemade Yogurt, Biscuit Sandwich and Cup of Fruit.  All were great and our waiter Jackson provided excellent service.",Midtown,Luke,38.29,8.28,21.6,3,,Prefer not to say,Hispanic
Eu6YhvRM3uzPFDPteOZTCA,Customer_2677,2008-07-01 12:12:52,8.0,I went to breakfast at Luke by the suggestion of the hotel I was staying at.  WOW!  The very best coffee I have ever had...no really!  They have some kind of bacon that is from another world altogether...twice smoked and yummy!  The servers were so friendly and helpful.  One of them made great suggestions for local sites and sounds to catch while I was in town.  I think this place is a perfect example of how New Orleans dining scene is world class.  I can't wait to go back to New Orleans and eat dinner here.,Midtown,Luke,48.87,9.8,20.0,3,36-45,,Mixed
lRwSReNwntyqWPsvRvs6zw,Customer_6101,2017-10-25 16:55:48,10.0,,Midtown,Luke,,4.09,13.2,2,,,
hmqMl31SGqvcMFRWz6mxMQ,Customer_2410,2017-08-09 17:53:23,,,Midtown,Luke,37.73,8.88,23.5,2,26-35,,
mgU_-4Ta5Fy07ZGT2dJuhg,Customer_9740,2015-04-30 22:43:35,8.0,,Midtown,Luke,,6.35,19.3,1,,Prefer not to say,African American
D8vP2PAH2mzcGYJ5HgfKnA,Customer_8625,2010-03-18 23:52:13,,"Made it to Luke's for dinner and the crabmeat ravioli is AMAZING.  However I'm knocking off a star because the place was a zoo.  

The next table was a 50th birthday party of 9 adults; one of the women was literally yelling at the top of her voice.  With tile/hardwood floors and tin ceilings, the volume in the restaurant almost ruined our meal.  It was exceedingly difficult to carry on a conversation at our table of 5 in between the shrieks next to us.  

Other dishes at our table were the redfish (w/ the crabmeat), the vanilla duck, shrimp & grits, and the shrimp farci.  Everyone thought their food was lovely...if only the atmosphere had been as nice.",Midtown,Luke,33.91,5.2,15.3,3,26-35,Female,Native American
yuiz1z-LJP6JLmQOczqknQ,Customer_6320,2015-11-23 16:40:26,10.0,"Everything from atmosphere to food and service were impeccable. Oysters were amazing, shrimp and grits to die for, delicious steak. Bread pudding to finish off this feast was insane!!!!",Midtown,Luke,,5.65,16.9,4,18-25,Male,
vNQaAc8kQlDo0X1L4UDN0w,Customer_3087,2014-03-23 13:15:04,10.0,,Midtown,Luke,43.22,8.89,20.6,4,,Male,Mixed
QuoOKQbNTITP2bYT3JZZIQ,Customer_4908,2016-12-06 08:39:47,8.0,"If you haven't been to Luke's or heard of Luke's then kill yourself. This place is a must when in New Orleans. For the best dinning experience order the following,

- raw oysters (75 cent during happy hour)
- char boiled oysters
- Brussel sprouts
- cup of gumbo 
- shrimp and grits ( split it for two and add crab meat on top)
- bread pudding (ask for ice cream on the side) 

Don't for get to follow these steps and do not skip the dessert portion. Best bread pudding in town. Hands and toes down.",Midtown,Luke,30.74,6.9,22.4,2,56-65,Female,
y4axVbAyJhdVsy6Ni34gBw,Customer_8132,2013-10-15 20:51:08,8.0,,Midtown,Luke,,5.34,19.8,1,36-45,,Asian
s6Hs8SXv1c8OsYvlNwwSog,Customer_2873,2017-05-14 22:39:24,10.0,,Midtown,Luke,87.75,7.52,8.6,3,,Non-binary,Hispanic
8bCE_AtA7FFBVeF6fFpw2g,Customer_7208,2016-03-11 20:09:49,,,Midtown,Luke,30.18,3.84,12.7,3,,Male,Hispanic
BvfmfAaXkJTk8gs1l_yWQQ,Customer_3403,2018-04-16 02:00:50,8.0,"Solid, but nothing ground breaking or innovative. People dress business casual, or so it seemed when we went. No need to stress too hard about it though. There was a wait, even though we had reserved and there was lot of space in the back. Very good Liver Pâté with the assorted cheeses and such. Dessert was lackluster. Overall, more in the positive than the negative",Midtown,Luke,20.52,4.13,20.1,3,46-55,,Native American
K7LzPw8Z7m3G4uxmT5wm4w,Customer_5989,2008-12-11 04:50:46,10.0,"We were looking forward to checking out one of Besh's restaurants while visiting New Orleans and decided on Luke's.  We were not disappointed.  

For drinks, we started with the Champagne Au Peche and the French ""75"" which tasted like a cady margarita (I preferred the first drink).  The oysters were fresh and sweet and the rabbit/duck liver pate was delicious!  We went back again just for the pate!  For dinner, my bf had the mussels which were nice and buttery and I had the entrecote with bernaise sauce...yum.  The decor; simple, bistro style...nothing too fancy with nice, laid back service.",Midtown,Luke,54.87,19.2,35.0,4,65+,Non-binary,Hispanic
4TZp7xbeiio1cTwcoG7b3g,Customer_2022,2014-07-13 17:27:14,4.0,"Food is not worth the price, fills a hole at best. Went there for brunch because of the reviews. Menu had some leftover food on it from last customers. Service was ok, coffee was way too strong and had floating grounds in it. Probably one of our least favourite meals while staying in New Orleans.",Midtown,Luke,50.53,7.45,14.8,1,56-65,Male,Caucasian
-A5LgNzV_VBg1Pe__Xz9ew,Customer_4854,2016-04-25 16:27:40,8.0,"I give it 4 stars, but I think some in my party weren't that impressed by our brunch. I ordered the deconstructed chicken/egg sandwich and really enjoyed this. One in our party really liked the Luke breakfast. 

Where they let us down was the burger, and maybe this is just the usual Jazz Fest season overcapacity issue this city suffers. The menu description sounded unique and appealing as was the actual presentation.  My fiancee ordered it medium, and the kitchen staff just couldn't deliver on this. It came out rare the first time, and slightly less rare after she sent it back.  I like rare, so I thought it was very tasty, albeit too rich for my delicate stomach . Other who ordered the burger thought it was ok, but not fantastic and also a bit rich.  (you may be tempted to judge us unsophisticated for ordering burgers at a Besh restaurant, but most of us have pretty developed palates and just crave a burger sometimes).  

The manager did apologize and offer us a free round and took this off the tab. Everybody who tasted the Bloody Mary's really enjoyed these and the Mary's are now my new favorite.",Midtown,Luke,36.25,8.63,23.8,1,56-65,Prefer not to say,Mixed
EzzLXqGfWHjaao3fxVwsqw,Customer_3278,2014-12-20 00:40:40,8.0,I can only speak for their shrimp and grits as that's all I tried but it was extremely delicious. The shrimp are plump and sweet and the grits are intensely packed with flavor to compliment their seafood partner.,Midtown,Luke,,9.92,23.8,1,46-55,Non-binary,Other
rFzxSoW03da5wF69HueNPQ,,2015-05-16 14:25:03,,"We had two dozen raw oysters and a couple of cocktails. The oysters were plump and delicious. The restaurant is within walking distance of numerous hotels in the business district, so it's conveniently located. 

We got there around 2:00 pm on a Friday and it was still pretty crowded. I definitely recommend calling ahead and making reservations just in case.",Midtown,Luke,56.99,11.69,20.5,4,,Prefer not to say,Other
WedzjN0Myvz-h4GQtOTCJw,Customer_7974,2018-07-17 22:27:03,10.0,"This place is amazing!!!! Oysters are 75 cents during happy hour and they are so fresh ! We had an amazing server ! Everyone checked up on how we were doing and if the food was good, my group of 3 had ordered the corn and crab bisque, the Luke burger, 12 oysters and a dish with ham and bread and so much more. The chefs are so kind and checked on us through the window, they gave us each a fry and cut up our burger since we splitting it without extra cost or us having to tell them, I love it here and will most definitely be coming back, they gave us a table straight away without a reservation.",Midtown,Luke,48.52,14.56,30.0,2,46-55,,Other
CxQMHet2HYsrUtolqNVcMg,Customer_9161,2010-01-13 20:20:44,10.0,Had the pleasure of revisiting New Orleans shortly after my roadtrip. We made it back this past Sunday for an early dinner (to take advantage of the .25 P&J's) Ordered the shrimp & grits and it was to die for. The pate was excellent as well as the BLT.,Midtown,Luke,25.24,2.23,8.8,4,26-35,,Native American
p66oYBeByV2LXTLOb2H4XQ,Customer_7038,2017-06-19 15:30:36,10.0,"Came for happy hour before strolling to Bourbon street! Had the fried oysters for 1.25 each. Sooooo good! We also got the shrimp and grits, equally tasty! 

Half off all alcohol beverages during happy hour, which starts at 3pm! And 1.25 oysters either fried or cold. They are huge! 

Service was awesome! And the waiter sent us an extra drink, because ya know, why not! The place is a lil upscale and adjacent to the hotel. We got there just before the crowd started strolling in. Will be back next time I'm in NoLa!",Midtown,Luke,54.5,10.44,19.2,2,46-55,Male,African American
xZXRydrMV6U7suKBCAPX1g,Customer_9469,2015-12-06 17:31:40,10.0,,Midtown,Luke,78.37,19.26,24.6,3,56-65,Male,Asian
9KWq6Z65wz1Cd_Zxqh0IsQ,Customer_6119,2016-09-07 15:06:46,,,Midtown,Luke,21.08,4.62,21.9,2,36-45,,Caucasian
N8zDmlRL0j7hsiQHhFr6aw,Customer_5827,2011-11-11 03:02:16,4.0,"Disappointing.  Service mediocre.  Food okay.  Had the signature dish, highly recommended by waiter, of shrimp and grits.  Friend had the omelet.   Okay, but not fine dining by far.  Only time I have not rated a John Besh restaurant highly.",Midtown,Luke,30.95,4.27,13.8,2,18-25,,Native American
qA5T95OALfDOORin4T7Fkg,Customer_1845,2014-08-15 13:47:24,10.0,"Lüke was recommended to us by our friendly Confederacy of Bike Tours guide as a great place for an oyster happy hour and he was absolutely right.  It was 50 cent oysters (and as one would expect in New Orleans they were fantastic) and half off cocktails.  A steal of a deal.

But the best part about Lüke is that it is a bit off the beaten trail and the debauchery that is Bourbon Street.  Come here for a break from the craziness.

217/365",Midtown,Luke,43.27,8.1,18.7,3,,,Caucasian
MX1iU7A_Laj5t3-4wTRK_w,Customer_3171,2016-04-14 15:40:43,8.0,"Thank you yelp! We came in on for Sunday brunch and requested something we've seen on YELP! They were more than happy to replicate the dish. We also ordered raw oysters and crab benedict. The main star dish was the Roasted jalapeno cheese grits with yard egg topped with a crispy fried soft shell crab. Yes, it was very rich in favor. The egg yolk oozing with perfection & you can taste the jalapeno like you just bit into a fresh one.",Midtown,Luke,35.77,9.47,26.5,3,36-45,Non-binary,Caucasian
h7_CBuY8Xt939Wcz-roxTw,Customer_7058,2014-06-15 08:02:36,2.0,,Midtown,Luke,,5.67,17.1,2,36-45,Female,
8kcTAyMwetg7MUowkX9JyA,Customer_3525,2018-02-03 17:21:04,10.0,"Food was amazing.  Came for breakfast, had the shrimp and grits and the southern breakfast.  Shrimp and grits were delicious.  The coffee is amazing!!!!  Service was excellent.",Midtown,Luke,25.78,4.59,17.8,1,,Prefer not to say,Other
r031i9OmFGYQ50QZpT_CVQ,Customer_6653,2013-06-27 17:18:02,10.0,"My wife and I had a great experience here while on a work trip/vacation.  First, the service was fantastic.  We started with a half-dozen big, fresh oysters matched with great cocktails.  I had the Choucroute Garnie Maison, which is a massive pork shank, a bratwurst, all on a bed of awesome sauerkraut.  B had the Moules et Frites, which she loved.  And the Bread Pudding for dessert was so good that we must've been making a scene - after finishing our dessert, the couple next to us was like, ""You two really liked that dessert!""  Hell yeah, we did!",Midtown,Luke,,2.4,7.7,2,36-45,Male,Caucasian
mbUzVM8P7qZh_ghmbA-ATQ,Customer_9724,2013-02-25 17:39:30,8.0,"Second time in 2 days.  Dinner was outstanding - rabbit pate, shrimp and grits, and oven roasted chicken were excellent.  Brunch menu selection excellent.  Quality of ribeye excellent but under seasoned.  Medium rare steak came out overcooked to medium.  The oyster salad was excellent but gritty.  Mussels outstanding.  Service provided by Sarah and Andrew was excellent.",Midtown,Luke,16.49,3.6,21.8,2,65+,Prefer not to say,
bUw5UxT-2maxLfsD183UMA,Customer_7258,2014-01-22 04:17:38,4.0,"Was looking forward to trying a John Besh restaurant but wound up being so disappointed. Waited 15 minutes for a table, very reasonable since we had no reservations. Upon sitting greeted by one waiter, different one brought drinks, back to first waiter who took appetizer order, back to second waiter who took main meal order, 1st one brought condiments, second one meal. Never knowing who our waiter was resulted in poor service, bread was never brought until we noticed other tables had it and we requested ours. Now down to the food, sooooo underwhelming. We started with the Flamencuche, which they were praised for based on the framed news article when you entered the restaurant. It was compared in the news article to a good pizza, it was terrible, thin flat bread was overwhelmed with an insane amount of onions, its all I could taste. For our meal ordered the burgers, because all the reviews praised Luke's for this. Once again so much carmalized onions and bacon, it made it hard to taste the meat. This place simply was overpriced and under-delivered. Even on their sodas, 3.25 for a small glass bottle soda, ridiculous. So disappointed, didn't even care to see the dessert menu. Mr Besh, I was not impressed would never return.",Midtown,Luke,31.59,5.7,18.0,1,56-65,Male,Hispanic
uxQV-DGH3ETSYy3BRky4YA,Customer_5466,2017-11-24 15:47:30,10.0,,Midtown,Luke,29.99,4.27,14.2,4,36-45,Male,Native American
-SfS--S2yPV0CX4QlINgtQ,Customer_4193,2016-03-20 02:02:59,10.0,,Midtown,Luke,44.5,13.35,30.0,2,65+,Female,Mixed
OowZfAngQO_UuDK6cPW08w,,2010-10-11 00:11:03,,,Midtown,Luke,32.31,6.9,21.4,1,46-55,Non-binary,Asian
193zdfFtXt7V5AFbSZiVhw,,2018-03-05 14:23:14,8.0,"Luke is just one of those places hat I have to visit each time in visiting NOLA.  It's a great restaurant attached to the Hilton Hotel that doesn't feel like a hotel restaurant.  Service is fantastic...usually. (I will get to that in a little while...)

Was in town with a coworker who is Vegan, and he raved about the concoction that the kitchen whipped up for him. It ended being his favorite NOLA meal EVER.  Unfortunately, it set up all the other meals during our trip to be failures because he enjoyed it that much and was impressed by our waiter's knowledge of the vegan diet and how he worked with the kitchen to make my coworker happy. Thumbs up guy with the ponytail! (Sorry, didn't get your name.)

We were so enablers by the service, that we hung out, ordered more drinks and dessert...forgetting our our urgency to make it to Bourbon Street for a fun night. Oops.

Fast forward to Sunday Brunch.  Waiter seemed hungover and slow. Kept reaching over the table to serve drinks and fill our glasses.  Now, I've never been a server, but I am pretty sure that is incorrect etiquette.  And as much as I have been to Luke's, all other wait staff made this guy look like a chump.  Anyway, we kept trying to warm him up by being super polite and friendly, but it was more out of annoyance than anything...

Food is always consistent here.  Although, I will say that the bacon bits in my salad seemed more fresh on Sunday morning than they did on Friday night.  I also love to get the shrimp and grits when I am feeling like something more hearty. Luke does it the best. 

Get the bread pudding.  It is a MUST.  You can hit the gym the next day.  No regrets.",Midtown,Luke,22.47,4.35,19.3,2,,Female,Hispanic
diJXtaV8Iibton1dW5qgqA,Customer_4027,2018-07-08 16:34:23,,,Midtown,Luke,59.94,10.85,18.1,2,65+,Female,Native American
iEUcKGKHLuT2pZwxmRrbJA,Customer_7995,2015-01-12 01:19:02,10.0,Everything here was amazing.  We got there before 6 and found out there were 75 cent oysters and half priced glasses of wine. And it kept getting better.  Amazing tuna nicoise tartine and rabbit/duck pate.  Incredible Brussels sprouts and cheese burger.  Great service too.,Midtown,Luke,,4.22,14.7,2,,Non-binary,Native American
KxAusrEgJHuzQTe0CjQmXA,Customer_1984,2018-05-19 21:47:42,6.0,,Midtown,Luke,14.21,1.43,10.1,5,,Non-binary,African American
08Fk6-PiVf0pDy6N_U0b3A,Customer_9061,2017-03-29 20:57:48,10.0,,Midtown,Luke,51.49,13.21,25.7,2,,Prefer not to say,Asian
X5uXxziuAaGth-baVMx_3A,,2012-10-09 14:38:36,6.0,"If I were writing this based on my dinner experience, it'd be 4 stars, but we went back for brunch the next day.

Dinner:
GREAT happy hour, we had 3 dozen oysters. The place was clean, efficient, and really good. Shawn (female) was on the ball!
Pros:
Happy hour drink prices. Oysters were divine (I had the P&J)
Cons:
I ordered the express, which was rabbit sausage with mustard sauce and noodles...mediocre at best.

Breakfast:
Service was slow as Hell compared to the night. Everyone around us was getting agitated
Pros:
Eggs in a jar was so unique I actually took a photo of it.
Cons:
Menu was tiny, a mimosa special would help this place out.",Midtown,Luke,,5.15,18.7,2,65+,Non-binary,
O7jp0SGFioQbc13OnIuh7A,,2017-03-03 22:48:23,,"The service was very good here. I came during happy hour and my drinks were very strong. I ordered a matzo ball soup-  very good and with flavorful broth. I also had the  beet salad because I'd already had enough fried food at lunch. It was light and refreshing and I loved the spicy pecan candied garnish. Very good. I finished my meal with the bread pudding which I didn't care for personally, I felt like the ice cream texture was flat, and I don't think I like bread pudding. But I'm assuming it's good if you like it because everyone gives it good reviews. The flavor was there. I enjoyed my dinner and my happy hour buzz.",Midtown,Luke,37.63,5.62,14.9,3,26-35,Non-binary,Other
